Date : 2024-10-18 20:22:10
Directory : d:\workspace\brainless-jellyfish\src
Total : 78 files,  2716 codes, 202 comments, 577 blanks, all 3495 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |         78 |      2,716 |        202 |        577 |      3,495 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\workspace\brainless-jellyfish\src\commands\purge\all.ts                                  | TypeScript |         17 |          1 |          4 |         22 |
| d:\workspace\brainless-jellyfish\src\commands\purge\attactment.ts                           | TypeScript |         20 |          1 |          4 |         25 |
| d:\workspace\brainless-jellyfish\src\commands\purge\bot.ts                                  | TypeScript |         17 |          1 |          4 |         22 |
| d:\workspace\brainless-jellyfish\src\commands\purge\containContent.ts                       | TypeScript |         25 |          0 |          4 |         29 |
| d:\workspace\brainless-jellyfish\src\commands\purge\embed.ts                                | TypeScript |         17 |          1 |          4 |         22 |
| d:\workspace\brainless-jellyfish\src\commands\purge\user.ts                                 | TypeScript |         22 |          1 |          4 |         27 |
| d:\workspace\brainless-jellyfish\src\commands\reloadClient.ts                               | TypeScript |         17 |          0 |          3 |         20 |
| d:\workspace\brainless-jellyfish\src\commands\sendReactRoleMessage.ts                       | TypeScript |         31 |          0 |          5 |         36 |
| d:\workspace\brainless-jellyfish\src\commands\serverStat.ts                                 | TypeScript |         33 |          0 |          8 |         41 |
| d:\workspace\brainless-jellyfish\src\components\buttons\connectingWords\SetButton.ts        | TypeScript |         11 |          0 |          3 |         14 |
| d:\workspace\brainless-jellyfish\src\components\buttons\general\CloseButton.ts              | TypeScript |         11 |          0 |          3 |         14 |
| d:\workspace\brainless-jellyfish\src\components\buttons\general\SuwaReactNeuronRole.ts      | TypeScript |         30 |          1 |          3 |         34 |
| d:\workspace\brainless-jellyfish\src\components\buttons\general\autoRoleButton.ts           | TypeScript |         40 |          0 |          6 |         46 |
| d:\workspace\brainless-jellyfish\src\database\connector.ts                                  | TypeScript |         37 |          0 |          9 |         46 |
| d:\workspace\brainless-jellyfish\src\events\interactionCreate.ts                            | TypeScript |         10 |          0 |          3 |         13 |
| d:\workspace\brainless-jellyfish\src\events\messageCreate.ts                                | TypeScript |          8 |          0 |          3 |         11 |
| d:\workspace\brainless-jellyfish\src\handler\CommandHandler.ts                              | TypeScript |         80 |          0 |         15 |         95 |
| d:\workspace\brainless-jellyfish\src\handler\ComponentHandler.ts                            | TypeScript |         33 |          0 |          5 |         38 |
| d:\workspace\brainless-jellyfish\src\handler\EventHandler.ts                                | TypeScript |         41 |          0 |          5 |         46 |
| d:\workspace\brainless-jellyfish\src\handler\InteractionHandler.ts                          | TypeScript |         19 |          1 |          4 |         24 |
| d:\workspace\brainless-jellyfish\src\index.ts                                               | TypeScript |          8 |          0 |          5 |         13 |
