"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "HTML", "Markdown", "CSS", "TypeScript JSX", "comment", "blank", "total"
"d:\workspace\brainless-jellyfish\src\dashboard\dist\app-bundle.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 7, 4, 25
"d:\workspace\brainless-jellyfish\src\dashboard\package-lock.json", "JSON", 0, 0, 0, 22326, 0, 0, 0, 0, 0, 1, 22327
"d:\workspace\brainless-jellyfish\src\dashboard\package.json", "JSON", 0, 0, 0, 67, 0, 0, 0, 0, 0, 1, 68
"d:\workspace\brainless-jellyfish\src\dashboard\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 23, 1, 44
"d:\workspace\brainless-jellyfish\src\dashboard\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"d:\workspace\brainless-jellyfish\src\dashboard\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 33, 0, 0, 6, 39
"d:\workspace\brainless-jellyfish\src\dashboard\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 4, 38
"d:\workspace\brainless-jellyfish\src\dashboard\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 26, 0, 3, 6, 35
"d:\workspace\brainless-jellyfish\src\dashboard\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"d:\workspace\brainless-jellyfish\src\dashboard\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\workspace\brainless-jellyfish\src\dashboard\src\scene\components\dashboard\BarChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 126, 1, 4, 131
"d:\workspace\brainless-jellyfish\src\dashboard\src\scene\components\dashboard\GeographyChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 0, 3, 86
"d:\workspace\brainless-jellyfish\src\dashboard\src\scene\components\dashboard\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 4, 30
"d:\workspace\brainless-jellyfish\src\dashboard\src\scene\components\dashboard\LineChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 116, 0, 5, 121
"d:\workspace\brainless-jellyfish\src\dashboard\src\scene\components\dashboard\PieChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 107, 0, 3, 110
"d:\workspace\brainless-jellyfish\src\dashboard\src\scene\components\dashboard\ProgressCircle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 3, 23
"d:\workspace\brainless-jellyfish\src\dashboard\src\scene\components\dashboard\StatBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 51, 0, 5, 56
